target,text
4,redoinq the myspace 
4,Listening to lines vines &amp; trying times  its ahhhhmazing!
0,buxie wid mah assignment . 
0,I want and NEED him to be the father of my babies  ugh...I really do miss him. 
0,"@nickjonas WHY YOU DON'T REPLY TO ME??  i give UP, i try try try and you? DON'T REPLY "
0,oh no  craaaaazy mary keenan just got knocked out   way to hang tough
4,"@wishdreamhope Well, there are some of  us out there! "
4,hello twitter! 
4,@fullsizebarbie  girl that reminds me of one of my fav songs.. except it's the opposite... http://tinyurl.com/cnzkf4
4,Good morning  ah whatam i going to do today? [missingJuice]
4,@steeredc I've still got Simon at my apartment... reminds me of livingroom picnics 
4,@jimyvr they're hidden somewhere. go seek them out! 
0,@KatyMoeller I am lost. Please help me find a good home. 
4,about to dye heyshas hair.! then to the social after party later.! r.i.p. waldo ily 
0,I have to study! NNOOOOOOOOOO! 
0,Tired man ! Don't wanna go back tommorow 
0,@cosmetic_candy it sucks. i didn't get to sleep til 4.30 this morning. my left eye is about the size of a pea and hurts 
0,Grrrrrrr went to the wrong restroom when I got here and then I try unlocking a car that's not mine.....so out of it. Tired I guess 
4,@mahony182 Just stay calm  I didnt have a clue either when i did them and I got a B. You will be fine. may the force be with youuu
4,@aznmacboi you got a big ego.. such a huge ego.. i love your big ego.. you walk like that cuz u can back it  up  lovvvee u booiiwwwaayyy
4,"@devikamathur amazing..!! some time soon, you can have a twitter request edition of ur program  request idhar.. gaana udhar ;-)"
4,yearbooks  hah
4,Another glorious day in sunny Iceland. Absoloutly positive this day will bring on good news 
0,@alyseandersen agreed! Ahhhh 
4,Im so going to hook up my rooftop with some twinkling lights and a fire pit... 
4,@smashingmag hi SM. i'm looking for creative designs on trucks/trailers. i saw ur tweet b4 but can't point my finger where 
4,"@jeffparks Good morning, sir "
0,time for bed... gonna be a lonely night with hubby at work 
4,@trixie360 @cheapyd I'm pretty sure Sir Paul is kinda like a 500-lb bear. He does whatever he pleases. 
0,@Cezzywezzy awwww  i should give you mine. lol. who are the corrs? haha
4,"@jack when we put our talents together creatively i think we can make some huge $$, i am a legit firm, so contact me if u interested "
0,Thinking this weeks hospital appointments et al will prob halt plans to attend #EdTweetup tomorrow - babysitters etc... damn bad timing 
0,"Madama Butterfly closed last night at Miami Opera, and I thought it wasn't closing until next week "
0,carpal tunnel pain rearing its ugly head again 
4,"@lisadempster - Anytime, m'dear. You're welcome  xx"
0,@clarreal I only went to a bazaar! 
4,@binnsy You're a house too? How odd. 
0,Jeez im already not having fun. This is so awkward. 
4,"Good to hang with the ex AP peeps; and good to celebrate a birthday with good friend. Happy bday, @Magaard! "
0,Damn the cavs lost I lost sum chippaz 
4,@sexygentleman That's a bad thing. You had the flu or what? And the girls are doing GREAT. They are little rebels (just like their mommy 
0,RIP my 2nd generation iPod   You lasted a LONG time. Thank you. Can't afford a new one. I'll just go back to the DiscMan!
0,All most twitter client for PC  made adobe air or widjet.... adobe air is not good to use Korean... 
0,Omg...I left my dad's card in the ATM  and I deposited a lot for him...
0,My 4 year old (18 year old) is driving me around the twist...i don't want to be like this 
4,@disgraceUK @JaySFnB failing asleep is part of the shift! 
4,@traacy lol hahaha so can u! i came up with a crappy simple idea for my book thing! yay!  hahaha sup whichu now teeracy?
4,@annieng that sounds like a lot of fun! 
4,@sarahatherton Hahahaaa..then 'tis me that is the gay one  ..this side of my double life is quite the gayness.
4,I feel extremely at ease when I have my finances in check. 
4,if my professor isn't here in 5 minutes I can leave!  breakfas sounds good right now
0,is jealous of everyone at Summertime Ball today. really wanted to go... and i actually could've gone but got revision to do for exams! 
4,I wanna be the minority 
0,@TomFelton OMG i hear ur going to milton keynes on saturday .. we already booked for sundayy now 
4,"@travistobias I haven't gotten a chance to listen to it all the way through yet, but I think I will play it on loop tomorrow @ work.  "
0,Saying goodbye is not my style ill see u later m red headed love 
0,"@stardazer1114 It's good, because this work is really hard, but no I don't still get paid "
4,"@ninjaboi Goodluck, I am sure you will do great "
4,Social day ahead. Industry networking BBQ in West Hollywood today. Ya gotta love a Saturday schmooze fest ala casuala. 
4,@blakrabit yeah... today is the last day of May. The day to let go... 
